epoch,acc,auc_pr,auc_roc,hamming_loss,loss,lr,ranking_loss,val_acc,val_auc_pr,val_auc_roc,val_hamming_loss,val_loss,val_ranking_loss
0,0.9935423041609954,0.0015008773932680293,0.49951739360502045,105.60244034995934,0.10322817138247371,0.001,8.055302619934082,0.9935091708478554,0.001573551170075531,0.49950286968747065,106.1495123893765,0.10376294350974076,8.055302619934082
1,0.9935423041609954,0.0015819729229402174,0.4995642925882322,105.60244044048237,0.10322817140236402,0.001,8.055302619934082,0.9935091708478554,0.0015788331206927732,0.49952384150749424,106.14951196853801,0.10376294328436733,8.055302619934082
2,0.9935423041609954,0.0015780259702633686,0.4995783128537732,105.6024404653762,0.10322817132722284,0.001,8.055302619934082,0.9935091708478554,0.0015792589778829617,0.499555942532855,106.14951207714148,0.10376294335065363,8.055302619934082
3,0.9935423041609954,0.0015771163762092982,0.49957339824638325,105.60244039239201,0.10322817138357873,0.001,8.055302619934082,0.9935091708478554,0.0015798574978455875,0.49956042672179346,106.14951198211344,0.10376294331088184,8.055302619934082
4,0.9935423041609954,0.0015813353626505729,0.49958572085141517,105.60244044331122,0.10322817137694863,0.001,8.055302619934082,0.9935091708478554,0.0015801157068222548,0.4995721003763192,106.14951194138713,0.10376294329762459,8.055302619934082
5,0.9935423041609954,0.0015775808551882953,0.49958452013938304,105.6024403397755,0.10322817142501689,0.001,8.055302619934082,0.9935091708478554,0.0015812505998158185,0.49958354335450617,106.14951211786779,0.10376294340368268,8.055302619934082
6,0.9935423041609954,0.0015800915413902515,0.4995815365854616,105.60244051007196,0.10322817137805365,0.001,8.055302619934082,0.9935091708478554,0.0015808230100673526,0.4995813491187486,106.14951218574497,0.1037629432578528,8.055302619934082
7,0.9935423041609954,0.0015799633096326882,0.49958485548788856,105.60244042181199,0.1032281713813687,0.001,8.055302619934082,0.9935091708478554,0.0015803087832906625,0.4995808511230021,106.14951207714148,0.10376294329762459,8.055302619934082
8,0.9935423041609954,0.0015812388833986528,0.49958571615288067,105.60244044048237,0.10322817140457406,0.001,8.055302619934082,0.9935091708478554,0.0015802314522381196,0.49957952163185515,106.14951229434845,0.10376294329762459,8.055302619934082
9,0.9935423041609954,0.0015820279527779476,0.49957802093245607,105.60244035165664,0.10322817135374326,0.001,8.055302619934082,0.9935091708478554,0.001580503190249483,0.4995832314376729,106.14951200926431,0.10376294337716815,8.055302619934082
10,0.9935423041609954,0.0015798288869799636,0.49959056887486974,105.60244046028428,0.10322817146203497,0.001,8.055302619934082,0.9935091708478554,0.001580412691629747,0.49958272405578574,106.14951214501866,0.10376294364231337,8.055302619934082
11,0.9935423041609954,0.0015799230978899132,0.4995829408505602,105.60244037881355,0.10322817138247371,0.001,8.055302619934082,0.9935091708478554,0.0015806854133712943,0.4995842758977116,106.14951215859409,0.10376294335065363,8.055302619934082
12,0.9935423041609954,0.0015810909562319114,0.49958069153215695,105.6024404308643,0.10322817144987978,0.001,8.055302619934082,0.9935091708478554,0.0015805534110321694,0.4995847203341243,106.1495121993204,0.10376294346996898,8.055302619934082
13,0.9935423041609954,0.0015805877261447368,0.49958630926440195,105.6024404399166,0.10322817143440954,0.001,8.055302619934082,0.9935091708478554,0.0015812360586721144,0.49958598990245223,106.14951211786779,0.10376294316505198,8.055302619934082
14,0.9935423041609954,0.0015809409944603028,0.49958457926003014,105.60244052082156,0.10322817138965633,0.00020000001,8.055302619934082,0.9935091708478554,0.001581092391807745,0.499585200193938,106.14951200926431,0.10376294335065363,8.055302619934082
15,0.9935423041609954,0.0015816687899277383,0.4995827420579092,105.60244043539045,0.10322817144103964,0.00020000001,8.055302619934082,0.9935091708478554,0.0015808951660238365,0.4995842142779632,106.14951202283974,0.10376294365557064,8.055302619934082
16,0.9935423041609954,0.00158057642185872,0.4995869659984116,105.60244036297202,0.10322817144324968,0.00020000001,8.055302619934082,0.9935091708478554,0.0015808411172070801,0.49958604409813456,106.14951211786779,0.1037629433639109,8.055302619934082
17,0.9935423041609954,0.0015809224312969621,0.4995886101893332,105.60244047669158,0.10322817141120418,0.00020000001,8.055302619934082,0.9935091708478554,0.0015807384291574278,0.4995837379180664,106.14951215859409,0.10376294348322623,8.055302619934082
18,0.9935423041609954,0.0015809735755305248,0.49958565758032225,105.6024404308643,0.10322817142004431,0.00020000001,8.055302619934082,0.9935091708478554,0.0015805076198317641,0.49958331893559454,106.14951228077301,0.10376294328436733,8.055302619934082
19,0.9935423041609954,0.0015805875249279536,0.49958681776252195,105.60244038786585,0.10322817140457406,0.00020000001,8.055302619934082,0.9935091708478554,0.0015802849496356825,0.4995836349356641,106.1495119278117,0.10376294340368268,8.055302619934082
20,0.9935423041609954,0.0015802670162637996,0.4995855397434645,105.60244039239201,0.10322817141672926,0.00020000001,8.055302619934082,0.9935091708478554,0.0015804974506841143,0.49958499523668526,106.14951195496258,0.1037629432578528,8.055302619934082
