epoch,acc,auc_pr,auc_roc,hamming_loss,loss,lr,ranking_loss,val_acc,val_auc_pr,val_auc_roc,val_hamming_loss,val_loss,val_ranking_loss
0,0.9984181417948589,0.014409030735089375,0.7265567513673802,10.58866803353479,0.010350603860736302,0.001,6.423167205396121,0.9983767491642691,0.014338447089270553,0.7127699215641226,22.760151588195583,0.02224842066548473,6.322493671946678
1,0.9984181417639184,0.014116311011422241,0.709094272284849,10.452223219144862,0.010217226685284131,0.001,6.428783284145945,0.9983767491642691,0.014238219032083966,0.7101877043255708,18.570879742768312,0.018153340506012753,6.330357266490569
2,0.9984181417992789,0.014341778809278595,0.7101299354797564,10.381783492767594,0.01014837069318809,0.001,6.42384028846704,0.9983767491642691,0.014442773708192054,0.710555366137698,19.119282657989828,0.018689413279878286,6.328565195361914
3,0.9984181417904389,0.01449748115592647,0.7102229411132609,10.338365585502537,0.010105928958489977,0.001,6.419764071355981,0.9983767491642691,0.014589394684682113,0.7110716908427744,15.249250890521392,0.014906400794766551,6.3435816815739425
4,0.9984181418125392,0.01466493467569992,0.7115812594421183,10.362657085966083,0.010129674323370027,0.001,6.417692764149271,0.9983767491642691,0.01473116817357171,0.711977127395915,22.66334314787515,0.022153789475825334,6.323698045520172
5,0.9984181417771786,0.01481963674219109,0.7116105523823719,10.28786568031693,0.010056564493970183,0.001,6.416475210942999,0.9983767491642691,0.014891224044948498,0.711243043590695,23.47363267674565,0.022945860291423533,6.322277157332125
6,0.9984181417771786,0.015003279477294325,0.7112850997860802,10.245218228038523,0.010014875892316318,0.001,6.418156714929136,0.9983767491642691,0.015031836476190235,0.7111535978062722,21.25579869280506,0.020777895814636425,6.32624409461785
7,0.9984181417727586,0.015159726522180563,0.7114544557252105,10.190980144637932,0.009961857239228511,0.001,6.421030976306433,0.9983767491642691,0.01528083534374356,0.7118498392376611,22.17296200545233,0.02167443592379738,6.325574192712315
8,0.9984181417815987,0.015366077061962167,0.7121071547059867,10.18925559878747,0.009960171440391793,0.001,6.41807241542365,0.9983767491642691,0.015434728504499931,0.712380035704141,23.09259893546325,0.02257339392533506,6.323137663437378
9,0.9984181417904389,0.015593105081356938,0.7129572147787346,10.14220917160351,0.009914182746575018,0.001,6.419923743275214,0.9983767491642691,0.015658259713273243,0.7132328050840792,24.203526391677585,0.023659344245530532,6.322500060885827
10,0.9984181417727586,0.01576104127229763,0.7137565699161138,10.098128009452438,0.009871092659217873,0.001,6.411195824806629,0.9983767491642691,0.015854287349032336,0.7141633023146633,25.266740323809966,0.024698653467185132,6.3207968664339
11,0.9984181418125392,0.015966574208169326,0.7144515609228482,10.076213795015182,0.009849671173314497,0.001,6.409489408032647,0.9983767491642691,0.016050427575393503,0.7147116359866811,25.939083744198403,0.025355880165280398,6.320826296280288
12,0.9984181417948589,0.016183306497663624,0.7150845659057609,10.000171381462756,0.009775338363949407,0.001,6.418193940370225,0.9983767491642691,0.01634174379192001,0.7154411001137567,25.462606511506323,0.02489011628003095,6.322489908157294
13,0.998418141803699,0.016470630227839855,0.7159398604906795,9.974697577533432,0.00975043724678128,0.001,6.422471887251161,0.9983767491642691,0.016622358667945945,0.7165209566146877,25.890708884310467,0.025308592884645556,6.321580774843481
14,0.9984181417727586,0.016862952546069787,0.7171169472394893,9.888285963845597,0.009665968398120521,0.001,6.425191824675755,0.9983767491642691,0.01703482391677293,0.7174599900364451,25.538974904504958,0.02496476743860813,6.324965236025773
15,0.9984181417948589,0.017285976808795806,0.7182636627233333,9.817386699898577,0.009596663208255005,0.001,6.422795782842413,0.9983767491642691,0.017442911651210855,0.7187317068890745,26.065655195840314,0.025479605918571194,6.322051730444423
16,0.9984181417992789,0.01767164780918894,0.7194483149613015,9.8138065580001,0.00959316346860668,0.001,6.423562492686021,0.9983767491642691,0.017809002332097694,0.7198406188513461,25.322238301042983,0.024752903713105623,6.325459605858419
17,0.9984181417639184,0.0181104288633649,0.7206893245644335,9.534568369755446,0.009320203395277914,0.00020000001,6.418873111822449,0.9983767491642691,0.018372338755699238,0.7214436265921678,26.233297062938323,0.02564347854871767,6.321733259221413
18,0.998418141803699,0.018644416531148025,0.7221846430753397,9.47974907009081,0.009266616567461014,0.00020000001,6.417304231928683,0.9983767491642691,0.01889745770453134,0.7229005586210094,26.270656904716084,0.02567999850415038,6.321993761639578
19,0.9984181417683384,0.01916147097075012,0.7236112606273477,9.448242669110833,0.009235818505778903,0.00020000001,6.417913319916915,0.9983767491642691,0.019397716896336698,0.7242268591164694,26.42288057320483,0.025828799637186994,6.321133681463602
20,0.9984181417860187,0.01961638596355031,0.7247198591861718,9.42601211040074,0.009214087695015949,0.00020000001,6.418792582566003,0.9983767491642691,0.01986669998258034,0.7254228961001087,26.496217259308622,0.025900487406875315,6.321263009543096
