epoch,acc,auc_pr,auc_roc,hamming_loss,loss,lr,ranking_loss,val_acc,val_auc_pr,val_auc_roc,val_hamming_loss,val_loss,val_ranking_loss
0,0.9828504442502972,0.5367058484909739,0.9397922564344363,14.416147193684006,0.05440055469066249,0.001,7.678617205605587,0.9801402196971648,0.5195189731930374,0.9312941329194865,23.563919704332264,0.08892044394934943,7.570694018722675
1,0.9830042975895226,0.5161614010604477,0.9282718891531382,14.293608924365579,0.05393814605681468,0.001,7.6764546292364155,0.9799186476873696,0.5126233845675757,0.9260097954251351,30.981032152788355,0.11690953916639363,7.750771885618158
2,0.9830357610682381,0.5100554775546104,0.9243182071419013,14.204715117366478,0.053602697796920715,0.001,7.682472468826771,0.9746148591741509,0.49877858402532177,0.9227119933574571,35.56487610843203,0.13420706867078028,7.942194264963133
3,0.9831907695421053,0.49155218331722444,0.9216683067533551,14.08278031787976,0.053142566281176834,0.001,7.685304888877965,0.980205995992783,0.4943358698569307,0.922812845728813,22.420289576819183,0.08460486216829458,7.748429895978455
4,0.983326725224625,0.4971725206873735,0.9237503427030443,13.929897077681959,0.05256564854369608,0.001,7.6990558479389035,0.9797143907721984,0.4974142865850291,0.9231891998457252,34.874872246138544,0.1316032745969405,7.924799935752099
5,0.9833550121765425,0.4979146399321447,0.9227015035916404,13.889004011904829,0.05241133486881258,0.001,7.696642080152499,0.9800605946724568,0.4996490470313151,0.9231488523133304,25.52185364819448,0.09630887116040658,7.785342699453372
6,0.9835573616520609,0.501421894885273,0.9236035559542696,13.7302675129743,0.051812329208085796,0.001,7.707861267452551,0.9793958862987133,0.5011479902704922,0.9230042423677007,40.51916283423748,0.15290248000293696,7.941098546544346
7,0.9836540598042436,0.5009838559966203,0.9225439918594737,13.66439731197843,0.051563762494100086,0.001,7.706360139797925,0.9795949529070374,0.5010815536757128,0.9222035757992246,38.30895310148187,0.144562069046388,7.984015312544797
8,0.9837172753105274,0.5015105648804192,0.9219928158913484,13.514513680758549,0.05099816386112247,0.001,7.717746251544765,0.9810368794913685,0.5031465195734567,0.9218883471751432,36.198554068749104,0.13659829744778643,7.877334117014474
9,0.9835966172902593,0.5045693652007772,0.9217786251664262,13.777194135146928,0.05198941067027,0.001,7.7176951785391426,0.9795274452331963,0.5047602345090394,0.9218808593006309,29.126555621295893,0.10991151930268751,7.8412277860379
10,0.9837397904783786,0.5055515386211492,0.9221437556016129,13.58013291874339,0.051245783237461276,0.001,7.710521227106307,0.9773342608311855,0.5051418169922784,0.9221247557106368,35.94502671268008,0.1356415946275816,7.948425959665841
11,0.9838763244577184,0.5048794164942462,0.9221631574765695,13.379870637960645,0.050490076821002476,0.001,7.719117895205275,0.9802561926185538,0.5057273276355289,0.9219868529827223,39.70378950626478,0.14982559891468888,7.997256732205732
12,0.9840148775677668,0.5064521910155239,0.9218663138346765,13.307891725992304,0.05021845794582133,0.001,7.727733209267559,0.9807858821448929,0.5075033448158054,0.9216841049150589,41.794097728904234,0.1577135537127289,7.996667319481526
13,0.9840980102216551,0.5085709020318739,0.9216028260061263,13.203066202655524,0.04982288992608742,0.001,7.734432095021595,0.9804067937605971,0.5095488373292696,0.9216291399177061,36.23109571474408,0.13672109635871485,7.919249912576938
14,0.9841251448930964,0.5104940828264494,0.9216432682614168,13.167348717618243,0.04968810671321939,0.001,7.736600964780446,0.9798165196672493,0.5107740149585479,0.9214184254681298,49.38411650351428,0.18635513170049825,8.040301462925902
15,0.9842400297022154,0.5110200890566099,0.9212082371390387,13.128211926585958,0.04954042095241583,0.001,7.7397438468194855,0.980188689100633,0.5113655405307035,0.9207937991947209,54.97497928164421,0.20745272712969998,8.050225571098677
16,0.984309306594633,0.5118561334811692,0.9204417454396667,13.012320609462204,0.04910309499365173,0.001,7.741802260075624,0.9809382119310012,0.512738340272816,0.9204626755976896,39.38228951550405,0.14861239055427936,8.021840571482247
17,0.9848034845964734,0.5142571570531672,0.9207009836024883,12.395149217534247,0.04677414608972399,0.00020000001,7.763378634628264,0.980467377999507,0.5151877678862405,0.9205367039103027,56.21640466112609,0.21213735057673322,8.052270577806945
18,0.9848770922521347,0.5161290138624771,0.9203732349499998,12.232158077945854,0.046159085308624136,0.00020000001,7.770724109088527,0.9802111899087188,0.5170830729904525,0.9202618461136424,55.995020777151126,0.21130193936715433,8.051412064438566
19,0.9849755228919899,0.5179874549761551,0.9201891116383591,12.122112578589942,0.04574381917969258,0.00020000001,7.77142023571519,0.9802042652707581,0.5189035512985439,0.9200819504370383,55.73757059639747,0.2103304304661007,8.050155839132607
20,0.9849994805852557,0.5198954550563208,0.9200519161491362,12.042739611015591,0.04544429823951131,0.00020000001,7.7757175278209525,0.9803929456877052,0.520773166582125,0.9199443169690054,57.17531656387749,0.21575588562072964,8.049021764632759
21,0.9850961811858202,0.521671951505573,0.9198749563236787,12.004174331439478,0.04529876888549465,0.00020000001,7.780697451438078,0.9803046645374474,0.5225803665064891,0.9198547904644537,53.65344684845811,0.20246581227407542,8.046484612981114
22,0.9851669013833048,0.5235421738901418,0.9198585757380883,11.94075876984574,0.04505946478240575,0.00020000001,7.784154462949289,0.980268311063084,0.5242688511489728,0.9197406091821303,58.58963567051319,0.22109293893936577,8.047715605289564
23,0.9852249197092525,0.5251748101773098,0.9197042285643731,11.861147227688882,0.044759043820865166,0.00020000001,7.785406528704297,0.980264849509668,0.5260001328013358,0.9196308038650303,59.38234936075473,0.22408430983714006,8.04650021824268
