epoch,acc,auc_pr,auc_roc,hamming_loss,loss,lr,ranking_loss,val_acc,val_auc_pr,val_auc_roc,val_hamming_loss,val_loss,val_ranking_loss
0,0.753656991430231,0.3378243406076689,0.5815488365856377,383.9104358569996,3.9578395598643534,0.001,8.055302619934082,0.750721640586853,0.3360991764068604,0.5805503797531127,388.6847875976562,4.0070596694946286,8.055302619934082
1,0.7539704474242958,0.33443987369537354,0.5797668429645332,383.5627156850454,3.9542548334276355,0.001,8.055302619934082,0.7507216358184814,0.3369854474067688,0.5809346675872803,388.6847900390625,4.007059726715088,8.055302619934082
2,0.7540052774790171,0.33645468346170476,0.5807673633098602,383.50826613967484,3.953693467217523,0.001,8.055302619934082,0.7507216286659241,0.33707808136940004,0.5809297609329224,388.684794921875,4.007059659957886,8.055302619934082
3,0.7549804811542099,0.33713971400583115,0.5810135506294869,381.9615482639622,3.937747929547284,0.001,8.055302619934082,0.7517525529861451,0.33666845560073855,0.5806403374671936,387.018173828125,3.9898781394958496,7.859489822387696
4,0.7640707549211141,0.3375683414774972,0.5803818420783894,367.9701249406144,3.79350643866771,0.001,8.048687322719678,0.7564948415756225,0.33794561147689817,0.5802143692970276,379.88707763671874,3.9163615989685057,8.055302619934082
5,0.7643145572494816,0.33822269939087535,0.5800718858435348,367.643489115947,3.790139069428315,0.001,8.055302619934082,0.756288652420044,0.3391687273979187,0.5801392436027527,380.19889404296873,3.919576282501221,8.055302619934082
6,0.7642449043892525,0.3398442030758471,0.5802271043932116,367.7608584842166,3.7913490856016003,0.001,8.055302619934082,0.7562886476516724,0.3399175047874451,0.5801134657859802,380.19890380859374,3.919576358795166,8.055302619934082
7,0.7642448995564435,0.34032029155138377,0.5801159272322783,367.76085930901604,3.7913490888234733,0.001,8.055302619934082,0.7562886381149292,0.34042485237121584,0.5800466275215149,380.19889892578124,3.91957633972168,8.055302619934082
8,0.7642448995564435,0.3404021488653647,0.5798581741951607,367.7608597214157,3.7913490727141097,0.001,8.055302619934082,0.756288640499115,0.3408239161968231,0.5799592781066895,380.198896484375,3.919576301574707,8.055302619934082
9,0.7642449003619116,0.3410012862972311,0.5799528513405774,367.76086178341427,3.791349050161001,0.001,8.055302619934082,0.7562886381149292,0.3412421381473541,0.5799719953536987,380.1989013671875,3.9195762920379638,8.055302619934082
10,0.7642449011673799,0.34133262368472844,0.5798891009511175,367.7608584842166,3.7913490727141097,0.001,8.055302619934082,0.7562886548042297,0.3416080641746521,0.5799975752830505,380.198896484375,3.91957633972168,8.055302619934082
11,0.7642449011673799,0.34155927397109365,0.5798950316132726,367.7608580718169,3.7913490727141097,0.001,8.055302619934082,0.7562886476516724,0.34191178798675537,0.579959146976471,380.19889892578124,3.919576301574707,8.055302619934082
12,0.7642448987509753,0.3419668763070493,0.5799939060533369,367.76086054621516,3.7913490533828735,0.001,8.055302619934082,0.756288652420044,0.3421452558040619,0.5799490427970886,380.1989050292969,3.9195762634277345,8.055302619934082
13,0.764244901972848,0.34220290103474177,0.5799576728730589,367.76086095861484,3.7913490727141097,0.001,8.055302619934082,0.7562886500358581,0.34226434111595155,0.579926381111145,380.19889892578124,3.919576244354248,8.055302619934082
14,0.7642449003619116,0.342481096854081,0.5799721487470575,367.76085930901604,3.7913490630484916,0.001,8.055302619934082,0.7562886381149292,0.3424879574775696,0.5799390292167663,380.19889892578124,3.919576301574707,8.055302619934082
15,0.7642448995564435,0.3424726724624634,0.5799046835383853,367.76085889661636,3.7913490727141097,0.001,8.055302619934082,0.7562886428833008,0.34253971099853514,0.5798800492286682,380.1988952636719,3.9195763206481935,8.055302619934082
